date,time,matchup,1top,1bot,2top,2bot,3top,3bot,4top,4bot,5top,5bot,away_total,home_total,Umpires,Venue,away_pitcher,home_pitcher,v_1,v_2,v_3,v_4,v_5,v_6,v_7,v_8,v_9,h_1,h_2,h_3,h_4,h_5,h_6,h_7,h_8,h_9
2020-07-27,16:08:42,ARI@SD,0,1,2,3,4,5,6,7,8,9,10,11,Nan,Petco Park,596133,664192,606466,545121,516782,500871,572233,594777,608348,444482,605113,665487,663757,592518,502054,595777,571976,594824,642336,658668
2020-07-27,16:09:38,LAA@OAK,0,1,2,3,4,5,6,7,8,9,10,11,Nan,Oakland Coliseum,656288,605135,664058,545361,660271,457708,600303,405395,488771,592743,571718,543760,657656,656305,621566,592192,501981,572039,669221,643393
2020-07-27,17:35:48,TOR@WSH,0,1,2,3,4,5,6,7,8,9,10,11,Nan,Nationals Park,663423,434671,666182,624415,666971,665489,642133,606192,605412,643376,605233,607208,594809,516770,435062,452678,519346,435559,645302,572191
2020-07-27,18:10:40,CHC@CIN,0,1,2,3,4,5,6,7,8,9,10,11,Nan,Great American Ball Park,452657,489119,592178,519203,595879,656941,575929,519306,623520,663538,546991,640447,458015,553993,592206,606157,518568,571657,520471,592200
2020-07-27,18:10:40,ATL@TB,0,1,2,3,4,5,6,7,8,9,10,11,Nan,Tropicana Field,592314,607192,660670,645277,518692,542303,571431,621020,663586,542255,661388,596847,664040,500874,660294,592669,621563,642715,595281,572287
2020-07-27,18:35:26,MIL@PIT,0,1,2,3,4,5,6,7,8,9,10,11,Nan,PNC Park,605288,643230,456715,669374,592885,460075,576397,541645,475253,444489,606115,624428,621028,605137,592567,668804,591741,570256,607732,502481
2020-07-27,18:40:02,KC@DET,0,1,2,3,4,5,6,7,8,9,10,11,Nan,Comerica Park,543557,605242,593160,624585,609275,521692,656811,596748,460086,614173,621433,592348,570731,408234,543068,474568,457727,622682,519222,592444
2020-07-27,18:40:02,SEA@HOU,0,1,2,3,4,5,6,7,8,9,10,11,Nan,Minute Maid Park,608665,657624,643418,641487,641786,572122,657108,592530,543592,621005,543829,543807,514888,608324,488726,493329,621043,502210,663656,572863
2020-07-27,18:40:02,NYM@BOS,0,1,2,3,4,5,6,7,8,9,10,11,Nan,Fenway Park,608379,592612,642708,624413,643446,605204,624424,467092,429664,642086,607043,643217,502110,646240,593428,519048,543877,657077,598265,606299
