date,time,matchup,1top,1bot,2top,2bot,3top,3bot,4top,4bot,5top,5bot,visiting_total,home_total,Umpires,Venue,visiting_pitcher,home_pitcher,v_1,v_2,v_3,v_4,v_5,v_6,v_7,v_8,v_9,h_1,h_2,h_3,h_4,h_5,h_6,h_7,h_8,h_9
2018-07-11,19:8,SEA@LAA,0,0,0,0,1,0,2,0,0,0,3,0,Ryan Blakney,Angel Stadium of Anaheim,Marco Gonzales,Jaime Barria,Dee Gordon,Jean Segura,Mitch Haniger,Nelson Cruz,Kyle Seager,Ryon Healy,Ben Gamel,Guillermo Heredia,David Freitas,David Fletcher,Andrelton Simmons,Mike Trout,Justin Upton,Albert Pujols,Ian Kinsler,Jefry Marte,Martin Maldonado,Kole Calhoun
2018-07-11,19:36,TOR@ATL,0,0,0,6,0,0,0,0,0,0,0,6,Gary Cederstrom,SunTrust Park,Sam Gaviglio,Mike Foltynewicz,Curtis Granderson,Yangervis Solarte,Justin Smoak,Teoscar Hernandez,Randal Grichuk,Lourdes Gurriel Jr.,Aledmys Diaz,Luke Maile,Sam Gaviglio,Ender Inciarte,Ozzie Albies,Freddie Freeman,Nick Markakis,Tyler Flowers,Johan Camargo,Ronald Acuna Jr.,Dansby Swanson,Mike Foltynewicz
2018-07-11,19:8,NYY@BAL,0,0,0,0,5,0,0,0,0,0,5,0,Jim Reynolds,Oriole Park at Camden Yards,Sonny Gray,Dylan Bundy,Brett Gardner,Aaron Judge,Didi Gregorius,Giancarlo Stanton,Aaron Hicks,Greg Bird,Miguel Andujar,Austin Romine,Tyler Wade,Tim Beckham,Adam Jones,Manny Machado,Mark Trumbo,Jonathan Schoop,Chris Davis,Danny Valencia,Joey Rickard,Caleb Joseph
2018-07-11,19:11,TEX@BOS,0,0,0,1,0,0,0,0,0,3,0,4,Marvin Hudson,Fenway Park,Bartolo Colon,Chris Sale,Delino DeShields,Elvis Andrus,Nomar Mazara,Adrian Beltre,Rougned Odor,Jurickson Profar,Robinson Chirinos,Joey Gallo,Ryan Rua,Mookie Betts,Andrew Benintendi,J.D. Martinez,Mitch Moreland,Xander Bogaerts,Brock Holt,Eduardo Nunez,Sandy Leon,Jackie Bradley Jr.
2018-07-11,19:11,STL@CWS,0,0,0,0,0,0,0,0,0,1,0,1,Paul Nauert,Guaranteed Rate Field,Luke Weaver,Carlos Rodon,Matt Carpenter,Tommy Pham,Jose Martinez,Marcell Ozuna,Yadier Molina,Jedd Gyorko,Paul DeJong,Dexter Fowler,Kolten Wong,Yoan Moncada,Yolmer Sanchez,Jose Abreu,Daniel Palka,Matt Davidson,Leury Garcia,Omar Narvaez,Tim Anderson,Charlie Tilson
2018-07-11,19:10,CIN@CLE,0,2,0,0,0,9,0,6,1,0,1,17,Ryan Additon,Progressive Field,Tyler Mahle,Carlos Carrasco,Scott Schebler,Jose Peraza,Joey Votto,Scooter Gennett,Eugenio Suarez,Jesse Winker,Tucker Barnhart,Adam Duvall,Billy Hamilton,Francisco Lindor,Michael Brantley,Jose Ramirez,Edwin Encarnacion,Yonder Alonso,Jason Kipnis,Yan Gomes,Tyler Naquin,Greg Allen
2018-07-11,18:40,ARI@COL,1,5,0,4,0,3,0,6,0,1,1,19,Chad Whitson,Coors Field,Shelby Miller,German Marquez,Jon Jay,Paul Goldschmidt,Jake Lamb,A.J. Pollock,David Peralta,Ketel Marte,Daniel Descalso,Alex Avila,Shelby Miller,DJ LeMahieu,Charlie Blackmon,Nolan Arenado,Carlos Gonzalez,Trevor Story,Gerardo Parra,Ian Desmond,Tony Wolters,German Marquez
2018-07-11,19:11,OAK@HOU,3,0,0,0,0,0,3,2,0,1,6,3,Nic Lentz,Minute Maid Park,Chris Bassitt,Lance McCullers Jr.,Dustin Fowler,Marcus Semien,Jed Lowrie,Khris Davis,Stephen Piscotty,Matt Chapman,Mark Canha,Chad Pinder,Josh Phegley,George Springer,Alex Bregman,Jose Altuve,Yuli Gurriel,Josh Reddick,Evan Gattis,Kyle Tucker,Tim Federowicz,Tyler White
